text,label
Nienawidzę tego kraju!,1
Wszyscy powinni umrzeć!,1
Kocham swoją rodzinę,0
Dzisiejsza pogoda jest piękna,0
Ci ludzie są okropni!,1
Uwielbiam chodzić na spacery,0
"Pierdol się, nikt cię tu nie chce!",1
"Jebani idioci, nie macie pojęcia o niczym!",1
"Wypierdalać z mojego kraju, śmiecie!",1
"Zamknij mordę, nikt cię nie słucha!",1
"Co za zjebana hołota, powinni was zdelegalizować!",1
Spierdalaj do swojej dziury i nie wracaj!,1
"Kurwa, jak można być takim debilem?",1
Tacy jak ty to rak tego społeczeństwa!,1
"Jebane pasożyty, tylko żerujecie na innych!",1
Gówno wiesz i gówno znaczysz!,1
"Kurwa, ale dziś zimno!",0
"Jebani kierowcy, znowu korek na mieście...",0
"Pierdolę to, idę spać.",0
"Niech to szlag, znowu zapomniałem telefonu.",0
"Co za jebany dzień, nic nie idzie po mojej myśli.",0
"No nie wierzę, znowu zajebali mi miejsce parkingowe!",0
"Dziś miałem takie gówno w pracy, że szkoda gadać.",0
"Cholera jasna, gdzie są moje klucze?",0
Ale zajebista impreza wczoraj była!,0
"Jebane poniedziałki, nie znoszę ich.",0
"Pierdol się, nikt cię tu nie chce!",1
"Jebani idioci, nie macie pojęcia o niczym!",1
"Wypierdalać z mojego kraju, śmiecie!",1
"Zamknij mordę, nikt cię nie słucha!",1
"Co za zjebana hołota, powinni was zdelegalizować!",1
Spierdalaj do swojej dziury i nie wracaj!,1
"Kurwa, jak można być takim debilem?",1
Tacy jak ty to rak tego społeczeństwa!,1
"Jebane pasożyty, tylko żerujecie na innych!",1
Gówno wiesz i gówno znaczysz!,1
Dzisiaj jest naprawdę piękny dzień.,0
Uwielbiam oglądać zachody słońca nad morzem.,0
Kiedy ostatnio byłeś na wakacjach?,0
To danie smakuje naprawdę dobrze!,0
Lubię czytać książki w wolnym czasie.,0
Sport to świetny sposób na poprawienie kondycji.,0
Czy mogę prosić o pomoc w tym projekcie?,0
Czekam na nowy sezon mojego ulubionego serialu.,0
Przyjaźń to jedna z najważniejszych rzeczy w życiu.,0
Czy masz jakieś plany na weekend?,0
Hejka naklejka,0
Witam serdecznie,0
"Cześć, jak się masz?",0
"Dzień dobry, co u Ciebie?",0
"Pierdol się, nikt cię tu nie chce!",1
"Jebani idioci, nie macie pojęcia o niczym!",1
"Wypierdalać z mojego kraju, śmiecie!",1
"Zamknij mordę, nikt cię nie słucha!",1
"Co za zjebana hołota, powinni was zdelegalizować!",1
Spierdalaj do swojej dziury i nie wracaj!,1
"Kurwa, jak można być takim debilem?",1
Tacy jak ty to rak tego społeczeństwa!,1
"Jebane pasożyty, tylko żerujecie na innych!",1
Gówno wiesz i gówno znaczysz!,1
Dzisiaj jest naprawdę piękny dzień.,0
Uwielbiam oglądać zachody słońca nad morzem.,0
Kiedy ostatnio byłeś na wakacjach?,0
To danie smakuje naprawdę dobrze!,0
Lubię czytać książki w wolnym czasie.,0
Sport to świetny sposób na poprawienie kondycji.,0
Czy mogę prosić o pomoc w tym projekcie?,0
Czekam na nowy sezon mojego ulubionego serialu.,0
Przyjaźń to jedna z najważniejszych rzeczy w życiu.,0
Czy masz jakieś plany na weekend?,0
Hejka naklejka,0
Witam serdecznie,0
"Cześć, jak się masz?",0
"Dzień dobry, co u Ciebie?",0
"Dzień dobry, jak się masz?",0
Życzę Ci miłego dnia.,0
To był bardzo interesujący wykład.,0
"Mam nadzieję, że u Ciebie wszystko w porządku.",0
Gratuluję sukcesu w pracy!,0
Czy mogę Ci jakoś pomóc?,0
Dziękuję za Twoją pomoc.,0
"Cieszę się, że Cię widzę.",0
"Mam nadzieję, że pogoda będzie ładna.",0
Zawsze możesz na mnie liczyć.,0
Jesteś świetnym przyjacielem.,0
To było bardzo mądre spostrzeżenie.,0
"Nie ma za co, zawsze chętnie pomogę.",0
Czy możemy się spotkać jutro?,0
Twoja praca jest imponująca.,0
Zasługujesz na odpoczynek.,0
Chciałbym Cię zaprosić na kawę.,0
Dobrze Cię widzieć!,0
Jestem wdzięczny za Twoją obecność.,0
Świetnie Ci to wyszło!,0
Twoje umiejętności są imponujące.,0
Uwielbiam z Tobą rozmawiać.,0
Masz naprawdę dobre serce.,0
To był wspaniały wieczór.,0
Dziękuję za wspólnie spędzony czas.,0
Doceniam Twoje starania.,0
Jesteś bardzo pomocną osobą.,0
To bardzo uprzejme z Twojej strony.,0
Bardzo cenię Twoją opinię.,0
"Mam nadzieję, że masz dobry dzień.",0
Twój uśmiech poprawia mi humor.,0
"Cieszę się, że mogę na Ciebie liczyć.",0
Jesteś bardzo inteligentny.,0
Podziwiam Twoją pracowitość.,0
Zawsze wnosisz pozytywną energię.,0
Masz wspaniałe podejście do ludzi.,0
Twoja kreatywność mnie inspiruje.,0
"Bardzo się cieszę, że Cię znam.",0
Dziękuję za Twoją wyrozumiałość.,0
Twoja życzliwość jest godna podziwu.,0
Świetnie radzisz sobie z wyzwaniami.,0
Jesteś bardzo uprzejmą osobą.,0
Masz doskonałe umiejętności komunikacyjne.,0
Zawsze można na Ciebie liczyć.,0
To była bardzo ciekawa rozmowa.,0
Twoja pomoc jest nieoceniona.,0
Życzę Ci wspaniałego dnia!,0
Twoje osiągnięcia są godne podziwu.,0
Niech Ci się wszystko układa pomyślnie.,0
Jesteś kompletnym idiotą!,1
Twoje pomysły to totalne gówno.,1
Co za beznadziejny debil!,1
Nie masz ani grama mózgu.,1
Jesteś bezwartościowym nieudacznikiem.,1
Twoje życie to jedno wielkie dno.,1
Masz więcej szczęścia niż rozumu.,1
Skończ pierdolić głupoty.,1
Nic w życiu nie osiągniesz.,1
Jesteś chodzącą porażką.,1
Zamknij się i nie kompromituj.,1
Twoja praca to żałosny śmiech na sali.,1
Nikt nie chce Cię słuchać.,1
Co za pierdolona bzdura!,1
Nie potrafisz nawet myśleć logicznie.,1
"Każdy wie, że jesteś zerem.",1
Tylko idiota mógłby tak myśleć.,1
Twoje istnienie to strata tlenu.,1
Nie kompromituj się bardziej.,1
